Route,Route Name,Day of Week,Direction,Trip,Date,Passengers On,Passengers Off,Passenger Miles,Trip Max Load,Trip Load Factor,Act. Trip Travel Distance (Miles),Act. Trip Travel Time (Min.)
,,,,,,,,,,,,
1,1-Washington Boulevard,1-Weekday,Inbound,0555,2025-07-14,5,6,6.4,4,0.011,7.6,44.3
1,1-Washington Boulevard,1-Weekday,outbound,0600,2025-07-14,24,24,89.7,21,0.262,7.8,30.9
1,1-Washington Boulevard,1-Weekday,outbound,0639,2025-07-14,8,8,31.3,6,0.101,7.7,27.3
1,1-Washington Boulevard,1-Weekday,Inbound,0653,2025-07-14,7,8,22.4,7,0.070,7.7,34.2
1,1-Washington Boulevard,1-Weekday,outbound,0654,2025-07-14,10,9,34.8,8,0.115,7.8,30.7
1,1-Washington Boulevard,1-Weekday,Inbound,0724,2025-07-14,7,7,21.9,6,0.049,7.8,46.4
1,1-Washington Boulevard,1-Weekday,outbound,0739,2025-07-14,16,16,43.0,11,0.135,7.7,43.6
1,1-Washington Boulevard,1-Weekday,Inbound,0739,2025-07-14,12,12,28.7,9,0.102,7.7,34.5
1,1-Washington Boulevard,1-Weekday,outbound,0811,2025-07-14,20,20,52.5,13,0.176,7.7,37.8
1,1-Washington Boulevard,1-Weekday,Inbound,0826,2025-07-14,7,8,29.0,5,0.087,7.8,38.4
1,1-Washington Boulevard,1-Weekday,outbound,0827,2025-07-14,25,26,59.0,17,0.209,7.8,37.9
1,1-Washington Boulevard,1-Weekday,Inbound,0859,2025-07-14,10,10,21.7,5,0.069,7.8,33.4
1,1-Washington Boulevard,1-Weekday,outbound,0915,2025-07-14,11,12,27.8,6,0.086,7.8,41.1
1,1-Washington Boulevard,1-Weekday,Inbound,0916,2025-07-14,7,7,18.2,5,0.062,7.6,33.6
1,1-Washington Boulevard,1-Weekday,outbound,0949,2025-07-14,14,22,9.4,5,0.029,7.6,36.5
1,1-Washington Boulevard,1-Weekday,Inbound,1005,2025-07-14,5,5,18.3,3,0.054,7.9,39.2
1,1-Washington Boulevard,1-Weekday,outbound,1006,2025-07-14,22,22,52.7,13,0.164,7.8,37.4
1,1-Washington Boulevard,1-Weekday,Inbound,1037,2025-07-14,16,18,32.7,8,0.095,7.7,32.9
1,1-Washington Boulevard,1-Weekday,Inbound,1053,2025-07-14,10,10,30.0,6,0.092,7.7,35.9
1,1-Washington Boulevard,1-Weekday,outbound,1057,2025-07-14,4,4,16.1,4,0.046,7.6,42.5
1,1-Washington Boulevard,1-Weekday,outbound,1131,2025-07-14,16,28,17.5,7,0.046,7.7,35.6
1,1-Washington Boulevard,1-Weekday,Inbound,1141,2025-07-14,21,21,46.0,12,0.135,7.9,40.0
1,1-Washington Boulevard,1-Weekday,outbound,1147,2025-07-14,9,9,26.1,6,0.081,7.7,38.7
1,1-Washington Boulevard,1-Weekday,Inbound,1157,2025-07-14,17,20,53.2,14,0.163,7.6,38.3
1,1-Washington Boulevard,1-Weekday,Inbound,1227,2025-07-14,17,19,37.9,9,0.128,7.9,40.1
1,1-Washington Boulevard,1-Weekday,outbound,1232,2025-07-14,14,14,57.8,9,0.177,7.9,40.4
1,1-Washington Boulevard,1-Weekday,Inbound,1242,2025-07-14,7,9,15.5,5,0.046,7.7,40.3
1,1-Washington Boulevard,1-Weekday,outbound,1247,2025-07-14,17,17,55.1,12,0.178,7.8,37.9
1,1-Washington Boulevard,1-Weekday,outbound,1302,2025-07-14,15,16,36.7,8,0.119,7.5,37.3
1,1-Washington Boulevard,1-Weekday,Inbound,1327,2025-07-14,11,11,44.1,11,0.129,7.8,42.5
1,1-Washington Boulevard,1-Weekday,outbound,1332,2025-07-14,18,21,27.6,7,0.093,7.7,37.8
1,1-Washington Boulevard,1-Weekday,Inbound,1342,2025-07-14,19,19,64.4,15,0.149,7.9,57.4
1,1-Washington Boulevard,1-Weekday,outbound,1347,2025-07-14,12,16,21.0,6,0.073,7.7,37.9
1,1-Washington Boulevard,1-Weekday,Inbound,1357,2025-07-14,19,19,60.1,13,0.172,7.9,39.9
1,1-Washington Boulevard,1-Weekday,Inbound,1427,2025-07-14,20,20,45.2,9,0.140,7.8,43.2
1,1-Washington Boulevard,1-Weekday,outbound,1432,2025-07-14,32,32,67.3,15,0.208,8.0,51.6
1,1-Washington Boulevard,1-Weekday,outbound,1442,2025-07-14,7,12,9.2,5,0.025,7.7,48.7
1,1-Washington Boulevard,1-Weekday,Inbound,1442,2025-07-14,21,22,47.7,12,0.160,7.8,51.8
1,1-Washington Boulevard,1-Weekday,outbound,1502,2025-07-14,24,25,50.7,11,0.161,7.8,36.8
1,1-Washington Boulevard,1-Weekday,Inbound,1527,2025-07-14,18,18,72.2,13,0.217,7.9,49.2
1,1-Washington Boulevard,1-Weekday,outbound,1532,2025-07-14,29,31,80.7,17,0.256,7.8,41.8
1,1-Washington Boulevard,1-Weekday,Inbound,1542,2025-07-14,31,31,120.8,24,0.326,7.9,54.5
1,1-Washington Boulevard,1-Weekday,outbound,1547,2025-07-14,20,23,41.2,13,0.138,7.8,38.6
1,1-Washington Boulevard,1-Weekday,Inbound,1557,2025-07-14,12,12,30.9,6,0.089,8.1,44.6
1,1-Washington Boulevard,1-Weekday,Inbound,1627,2025-07-14,27,27,80.7,17,0.234,7.7,53.7
1,1-Washington Boulevard,1-Weekday,outbound,1632,2025-07-14,18,18,45.0,11,0.136,7.8,44.8
1,1-Washington Boulevard,1-Weekday,Inbound,1642,2025-07-14,36,36,88.9,21,0.266,7.9,57.7
1,1-Washington Boulevard,1-Weekday,outbound,1647,2025-07-14,7,9,13.2,4,0.045,7.8,38.9
1,1-Washington Boulevard,1-Weekday,outbound,1702,2025-07-14,16,16,44.9,10,0.143,7.7,35.3
1,1-Washington Boulevard,1-Weekday,Inbound,1727,2025-07-14,25,25,88.1,18,0.250,7.8,45.6
1,1-Washington Boulevard,1-Weekday,outbound,1732,2025-07-14,0,5,0.0,0,0.000,7.7,38.8
1,1-Washington Boulevard,1-Weekday,Inbound,1742,2025-07-14,20,18,77.7,15,0.188,7.8,59.0
1,1-Washington Boulevard,1-Weekday,outbound,1747,2025-07-14,11,13,17.8,6,0.037,7.7,52.0
1,1-Washington Boulevard,1-Weekday,Inbound,1757,2025-07-14,33,34,100.7,19,0.277,7.9,45.1
1,1-Washington Boulevard,1-Weekday,outbound,1835,2025-07-14,8,10,9.3,4,0.031,7.7,38.5
1,1-Washington Boulevard,1-Weekday,Inbound,1848,2025-07-14,29,29,104.0,18,0.312,7.8,41.5
1,1-Washington Boulevard,1-Weekday,outbound,1855,2025-07-14,9,12,16.1,5,0.055,7.7,32.6
1,1-Washington Boulevard,1-Weekday,Inbound,1922,2025-07-14,16,17,40.9,8,0.121,7.9,38.8
1,1-Washington Boulevard,1-Weekday,Inbound,1939,2025-07-14,11,11,35.8,6,0.107,7.7,32.5
1,1-Washington Boulevard,1-Weekday,outbound,1950,2025-07-14,17,16,62.9,13,0.200,7.8,36.2
1,1-Washington Boulevard,1-Weekday,outbound,2020,2025-07-14,7,7,22.0,7,0.065,7.8,35.6
1,1-Washington Boulevard,1-Weekday,Inbound,2034,2025-07-14,22,22,82.2,14,0.246,7.8,39.8
1,1-Washington Boulevard,1-Weekday,Inbound,2104,2025-07-14,13,13,39.2,8,0.111,8.2,39.5
1,1-Washington Boulevard,1-Weekday,outbound,2120,2025-07-14,9,12,12.6,4,0.044,7.7,30.4
1,1-Washington Boulevard,1-Weekday,outbound,2150,2025-07-14,7,8,16.2,4,0.049,7.6,31.0
1,1-Washington Boulevard,1-Weekday,Inbound,2204,2025-07-14,13,12,52.2,10,0.166,7.7,31.4
1,1-Washington Boulevard,1-Weekday,Inbound,2234,2025-07-14,13,13,59.8,11,0.139,7.8,41.5
1,1-Washington Boulevard,1-Weekday,Inbound,0555,2025-07-15,6,6,25.3,6,0.078,7.6,43.2
1,1-Washington Boulevard,1-Weekday,Inbound,0615,2025-07-15,4,4,18.1,4,0.045,7.5,45.6
1,1-Washington Boulevard,1-Weekday,outbound,0620,2025-07-15,17,17,53.2,14,0.127,7.6,47.9
1,1-Washington Boulevard,1-Weekday,Inbound,0635,2025-07-15,11,11,27.3,9,0.055,7.7,49.0
1,1-Washington Boulevard,1-Weekday,outbound,0639,2025-07-15,16,16,43.7,11,0.139,7.7,30.3
1,1-Washington Boulevard,1-Weekday,outbound,0654,2025-07-15,12,13,40.1,8,0.125,7.7,30.6
1,1-Washington Boulevard,1-Weekday,outbound,0709,2025-07-15,24,23,79.6,14,0.242,7.8,39.1
1,1-Washington Boulevard,1-Weekday,Inbound,0709,2025-07-15,9,10,14.9,5,0.044,7.8,40.8
1,1-Washington Boulevard,1-Weekday,Inbound,0724,2025-07-15,6,6,29.3,6,0.094,7.7,36.5
1,1-Washington Boulevard,1-Weekday,outbound,0724,2025-07-15,20,20,84.6,13,0.264,7.8,31.4
1,1-Washington Boulevard,1-Weekday,Inbound,0739,2025-07-15,10,11,40.8,9,0.130,7.8,35.6
1,1-Washington Boulevard,1-Weekday,Inbound,0754,2025-07-15,13,14,40.1,8,0.128,7.9,39.4
1,1-Washington Boulevard,1-Weekday,Inbound,0810,2025-07-15,12,12,34.2,10,0.101,7.8,36.6
1,1-Washington Boulevard,1-Weekday,outbound,0811,2025-07-15,18,30,14.2,6,0.039,7.8,46.6
1,1-Washington Boulevard,1-Weekday,outbound,0827,2025-07-15,18,21,38.6,12,0.115,7.7,37.9
1,1-Washington Boulevard,1-Weekday,Inbound,0842,2025-07-15,14,15,26.9,7,0.082,7.7,38.2
1,1-Washington Boulevard,1-Weekday,outbound,0843,2025-07-15,15,18,21.9,8,0.083,7.7,37.3
1,1-Washington Boulevard,1-Weekday,Inbound,0859,2025-07-15,3,3,6.5,2,0.024,7.7,35.8
1,1-Washington Boulevard,1-Weekday,outbound,0859,2025-07-15,22,25,35.1,10,0.126,7.6,42.9
1,1-Washington Boulevard,1-Weekday,Inbound,0916,2025-07-15,17,17,58.9,12,0.142,8.2,45.0
1,1-Washington Boulevard,1-Weekday,outbound,0932,2025-07-15,20,23,21.1,7,0.064,7.5,38.2
1,1-Washington Boulevard,1-Weekday,Inbound,0933,2025-07-15,17,17,34.1,9,0.101,7.9,36.5
1,1-Washington Boulevard,1-Weekday,outbound,0949,2025-07-15,13,15,24.6,8,0.078,7.7,35.0
1,1-Washington Boulevard,1-Weekday,Inbound,0949,2025-07-15,18,18,31.1,8,0.093,7.7,36.3
1,1-Washington Boulevard,1-Weekday,outbound,1006,2025-07-15,19,20,26.2,9,0.087,7.5,35.4
1,1-Washington Boulevard,1-Weekday,Inbound,1021,2025-07-15,6,8,15.1,3,0.045,8.0,36.1
1,1-Washington Boulevard,1-Weekday,outbound,1023,2025-07-15,16,21,21.6,10,0.072,7.8,41.9
1,1-Washington Boulevard,1-Weekday,Inbound,1037,2025-07-15,9,9,34.3,7,0.105,7.7,38.0
1,1-Washington Boulevard,1-Weekday,outbound,1040,2025-07-15,19,19,53.2,14,0.163,7.8,41.6
1,1-Washington Boulevard,1-Weekday,Inbound,1053,2025-07-15,16,17,32.8,8,0.099,7.8,34.7
1,1-Washington Boulevard,1-Weekday,Inbound,1109,2025-07-15,6,9,10.7,3,0.034,8.2,36.4
1,1-Washington Boulevard,1-Weekday,outbound,1114,2025-07-15,14,18,28.6,8,0.087,7.8,35.5
1,1-Washington Boulevard,1-Weekday,Inbound,1125,2025-07-15,39,39,113.4,23,0.335,8.0,44.7
1,1-Washington Boulevard,1-Weekday,outbound,1131,2025-07-15,7,7,25.5,7,0.078,7.8,35.8
1,1-Washington Boulevard,1-Weekday,outbound,1147,2025-07-15,18,22,42.4,13,0.137,7.8,38.9
1,1-Washington Boulevard,1-Weekday,Inbound,1157,2025-07-15,30,30,55.6,13,0.165,7.9,52.9
1,1-Washington Boulevard,1-Weekday,outbound,1202,2025-07-15,18,11,67.3,13,0.197,7.8,50.2
1,1-Washington Boulevard,1-Weekday,Inbound,1212,2025-07-15,9,9,18.8,6,0.032,7.7,62.4
1,1-Washington Boulevard,1-Weekday,outbound,1217,2025-07-15,10,13,9.4,3,0.034,7.5,38.2
