route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_short_name
GREENBACK,3,FFFFFF,008000,SRTD,001,1
NATOMAS/LAND PARK,3,000000,00FF00,SRTD,011,11
NATOMAS/ARDEN,3,000000,FFFF00,SRTD,013,13
DEL PASO HEIGHTS,3,FFFFFF,800080,SRTD,015,15
RIO LINDA,3,FFFFFF,008000,SRTD,019,19
SUNRISE,3,FFFFFF,FF0000,SRTD,021,21
EL CAMINO,3,000000,FFFF00,SRTD,023,23
MARCONI,3,FFFFFF,800080,SRTD,025,25
FULTON,3,FFFFFF,FF0000,SRTD,026,26
J STREET,3,000000,FFFF00,SRTD,030,30
DOS RIOS,3,FFFFFF,800000,SRTD,033,33
TAHOE PARK,3,000000,00FF00,SRTD,038,38
STOCKTON/BROADWAY,3,FFFFFF,008000,SRTD,051,51
MEADOWVIEW,3,000000,00FF00,SRTD,056,56
FRUITRIDGE,3,000000,FFFF00,SRTD,061,61
FREEPORT,3,FFFFFF,008000,SRTD,062,62
FRANKLIN,3,FFFFFF,FF8000,SRTD,067,67
OAK PARK,3,FFFFFF,008000,SRTD,068,68
ROSEMONT,3,FFFFFF,800080,SRTD,072,72
MATHER,3,000000,FFFF00,SRTD,075,75
BUTTERFIELD,3,FFFFFF,0000A0,SRTD,078,78
FLORIN,3,FFFFFF,800080,SRTD,081,81
NORTHROP/MORSE,3,FFFFFF,FF0000,SRTD,082,82
WATT,3,000000,FFFF00,SRTD,084,84
GRAND,3,FFFFFF,008000,SRTD,086,86
HOWE,3,FFFFFF,800080,SRTD,087,87
WEST EL CAMINO,3,FFFFFF,FF0000,SRTD,088,88
HILLSDALE,3,000000,FFFF00,SRTD,093,93
FSL Route 10,3,FFFFFF,FF0000,SRTD,10,10
RIVERSIDE COMMUTER,3,FFFFFF,C700C7,SRTD,102,102
RIVERSIDE EXPRESS,3,FFFFFF,C700C7,SRTD,103,103
ELSIE,3,FFFFFF,C700C7,SRTD,105,105
LAND PARK COMMUTER,3,FFFFFF,C700C7,SRTD,106,106
HAZEL EXPRESS,3,FFFFFF,C700C7,SRTD,109,109
NORTH MARKET COMMUTER,3,FFFFFF,0000FF,SRTD,113,113
SUNRISE COMMUTER,3,FFFFFF,0000FF,SRTD,124,124
ARDEN COMMUTER,3,FFFFFF,C700C7,SRTD,129,129
McKINLEY COMMUTER,3,FFFFFF,C700C7,SRTD,134,134
UCDMC,3,FFFFFF,FF00FF,SRTD,137,137
CAUSEWAY CONNECTION,3,FFFFFF,FF00FF,SRTD,138,138
AIRPORT,3,FFFFFF,FF00FF,SRTD,142,142
BELVEDERE,3,FFFFFF,C700C7,SRTD,161,161
CordoVan - Anatolia-Sunridge,3,FFFFFF,0000FF,SRTD,175,175
CordoVan - Anatolia-Kavala Ranch,3,FFFFFF,0000FF,SRTD,176,176
CordoVan - Villages,3,FFFFFF,0000FF,SRTD,177,177
FRUITRIDGE RD - FREEPORT BLVD,3,FFFFFF,FF0080,SRTD,205,205
12TH AVE - SUTTERVILLE RD,3,FFFFFF,FF0080,SRTD,206,206
LA RIVIERA DR,3,FFFFFF,FF0080,SRTD,210,210
COLLEGE GREENS,3,FFFFFF,FF0080,SRTD,211,211
14TH AVE - 21ST AVE,3,FFFFFF,FF0080,SRTD,212,212
FRUITRIDGE RD - STOCKTON BLVD,3,FFFFFF,FF0080,SRTD,213,213
BROADWAY - STOCKTON BLVD,3,FFFFFF,FF0080,SRTD,214,214
14TH AVE - FLORIN TOWNE,3,FFFFFF,0000FF,SRTD,215,215
POCKET RD - RIVERSIDE BLVD,3,FFFFFF,FF0080,SRTD,226,226
SOUTH LAND PARK - GREENHAVEN DR,3,FFFFFF,FF0080,SRTD,227,227
GLORIA DR - RUSH RIVER DR,3,FFFFFF,FF0080,SRTD,228,228
MEADOWVIEW - GREENHAVEN,3,FFFFFF,FF0080,SRTD,246,246
21ST ST - FLORIN RD,3,FFFFFF,FF0080,SRTD,247,247
MEADOWVIEW RD - RUSH RIVER DR,3,FFFFFF,FF0080,SRTD,248,248
FREEPORT - FRUITRIDGE - ML KING,3,FFFFFF,FF0080,SRTD,252,252
LA RIVIERA - COLLEGE GREENS,3,FFFFFF,FF0080,SRTD,255,255
FSL,3,000000,00FF00,SRTD,30,30
Downtown - Folsom,0,000000,EED211,SRTD,507,Gold
FOLSOM BUS BRIDGE,3,FFFFFF,0000FF,SRTD,517,517
13th - Richards/Township 9,0,FFFFFF,008040,SRTD,519,Green
Meadowview - Watt/I-80,0,FFFFFF,0000FF,SRTD,533,Blue
FSL Route 20,3,FFFFFF,0000FF,SRTD,F20,F20
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
