Day Of Week,Route,Direction,Time Period,Stop ID,Stop Name,Stop Sequence,Time Period AVG On,Time Period AVG Off,Time Period AVG Cumulative Load,Time Period AVG Dwell Time (min.)
,,,,,,,,,,
1-Weekday,1-Washington Boulevard,Inbound,1-EARLY AM,101,WindwardAve/MainSt,1,0.6,0.0,0.6,0.38
1-Weekday,1-Washington Boulevard,Inbound,1-EARLY AM,102,Pacific Ave/N Venice Blvd,2,0.0,0.0,0.6,0.14
1-Weekday,1-Washington Boulevard,Inbound,1-EARLY AM,103,Washington Blvd/Pacific Ave,3,0.1,0.1,0.6,0.20
1-Weekday,1-Washington Boulevard,Inbound,1-EARLY AM,104,Washington Blvd/Via Dolce,4,0.0,0.0,0.7,0.18
1-Weekday,1-Washington Boulevard,Inbound,1-EARLY AM,105,Washington Blvd/Via Marina,5,0.2,0.1,0.8,0.20
1-Weekday,1-Washington Boulevard,Inbound,1-EARLY AM,106,Washington Blvd/Palawan Way,6,0.0,0.0,0.8,0.07
1-Weekday,1-Washington Boulevard,Inbound,1-EARLY AM,107,Washington Blvd/Wilson Ave,7,0.0,0.0,0.8,0.12
1-Weekday,1-Washington Boulevard,Inbound,1-EARLY AM,108,Washington Blvd/Oxford Ave,8,0.1,0.0,0.9,0.11
1-Weekday,1-Washington Boulevard,Inbound,1-EARLY AM,109,Washington Blvd/Abbot Kinney Blvd,9,0.0,0.0,0.9,0.18
1-Weekday,1-Washington Boulevard,Inbound,1-EARLY AM,110,WashingtonBlvd/LincolnBlvd,10,0.2,0.2,0.8,0.35
1-Weekday,1-Washington Boulevard,Inbound,1-EARLY AM,111,Washington Blvd/Glencoe Ave,11,0.1,0.0,0.9,0.22
1-Weekday,1-Washington Boulevard,Inbound,1-EARLY AM,112,Washington Blvd/Redwood Ave,12,0.3,0.0,1.1,0.20
1-Weekday,1-Washington Boulevard,Inbound,1-EARLY AM,113,Washington Blvd/Beethoven St,13,0.1,0.0,1.2,0.14
1-Weekday,1-Washington Boulevard,Inbound,1-EARLY AM,114,Washington Blvd/Rosabell St,14,0.3,0.1,1.4,0.23
1-Weekday,1-Washington Boulevard,Inbound,1-EARLY AM,115,Washington Blvd/Mildred Ave,15,0.0,0.0,1.4,0.18
1-Weekday,1-Washington Boulevard,Inbound,1-EARLY AM,116,Washington Blvd/Centinela Ave,16,0.3,0.0,1.7,0.17
1-Weekday,1-Washington Boulevard,Inbound,1-EARLY AM,117,Washington Blvd/Grand View Blvd,17,0.0,0.0,1.7,0.27
1-Weekday,1-Washington Boulevard,Inbound,1-EARLY AM,118,WashingtonBlvd/InglewoodBlvd,18,0.6,0.1,2.3,0.36
1-Weekday,1-Washington Boulevard,Inbound,1-EARLY AM,119,Washington Blvd/Kensington Rd,19,1.4,0.1,3.6,0.30
1-Weekday,1-Washington Boulevard,Inbound,1-EARLY AM,120,Washington Blvd/Berryman Ave,20,0.1,0.0,3.8,0.10
