average_boardings,average_alightings,ridership_start_date,ridership_end_date,service_start_time,service_end_time,monday,tuesday,wednesday,thursday,friday,saturday,sunday,route_ID,direction_ID,stop_ID,
75,60,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,0,00563,                                 
14,18,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,0,00565,
7,3,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,0,00566,
1,2,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,0,00567,
6,15,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,0,00568,
4,3,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,0,00570,
15,20,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,0,00573,
37,12,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,1,00630,
10,12,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,1,00631,
4,4,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,1,00632,
16,4,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,1,00634,
3,2,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,1,00635,
4,9,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,1,00636,
15,10,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,1,00637,
2,5,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,1,00638,
69,74,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,1,00639,
19,44,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,1,00640,
6,9,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,1,00641,
25,46,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,1,00642,
8,6,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,1,00643,
18,19,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,1,00644,
5,16,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,1,00645,
20,12,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,1,00646,
3,4,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,1,00647,
12,20,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,1,00648,
3,3,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,1,00649,
35,38,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,0,01184,
44,3,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,0,01187,
26,2,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,0,01188,
16,3,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,0,01189,
38,10,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,0,01190,
1,1,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,0,01191,
53,16,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,0,01192,
12,8,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,0,01193,
4,3,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,0,01195,
27,23,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,0,01196,
2,9,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,0,01197,
7,10,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,0,01198,
27,32,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,1,01308,
17,7,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,1,01309,
32,32,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,1,01310,
2,3,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,1,01311,
3,27,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,1,01313,
13,36,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,1,01314,
13,41,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,1,01315,
2,12,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,1,01316,
1,4,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,1,01317,
2,38,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,1,01318,
2,65,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,1,02807,
3,8,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,0,03097,
1,12,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,0,03098,
19,1,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,0,03301,
38,26,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,0,03348,
10,8,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,0,03349,
17,10,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,0,03350,
2,1,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,0,03351,
29,22,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,0,03352,
20,17,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,0,03353,
8,7,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,0,03354,
39,24,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,0,03355,
9,5,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,0,03356,
44,17,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,0,03357,
3,4,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,1,05351,
4,11,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,1,05363,
0,302,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,0,09800,
285,0,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,1,1,001,1,09801,
2,2,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,0,0,10,1,03287,
0,0,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,0,0,10,0,11002,
3,2,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,0,0,10,1,11010,
0,0,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,0,0,10,0,11022,
0,3,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,0,0,10,0,11024,
2,1,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,0,0,10,0,11028,
24,11,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,0,0,10,0,11033,
5,1,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,0,0,10,0,11034,
1,1,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,0,0,10,0,11035,
5,2,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,0,0,10,0,11036,
1,2,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,0,0,10,0,11039,
0,1,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,0,0,10,0,11040,
0,0,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,0,0,10,1,11044,
0,0,20230901,20231231,00:00:00,24:00:00,1,1,1,1,1,0,0,10,1,11047,
